title,imdb_id,poster_url,language,original_title,overview,release_date,tagline,length,rating,num_votes
The Human Condition I: No Greater Love,tt0053114,https://image.tmdb.org/t/p/w500//oWCFLELvRjNj1mbsCDOKWRcnmD2.jpg,ja,人間の條件　第１部純愛篇／第２部激怒篇,"During the Second World War, Japanese conscientious objector Kaji works as a supervisor in a Manchurian prison camp. He hopes to avoid duty as a soldier, but he also hopes to be helpful to the welfare of his prisoners. But an escape attempt by Chinese prisoners results in Kaji's arrest for collusion. He faces the possibility of transferral to combat--or worse.",1959-01-15,The Immortal Story,206,8.5,6561
The Human Condition II: Road to Eternity,tt0053115,https://image.tmdb.org/t/p/w500//7jfv1C4t06VGenQxf3HbmLVmUHZ.jpg,ja,人間の條件　第３部望郷篇／第４部戦雲篇,"Kaji is sent to the Japanese army labeled Red and is mistreated by the vets. Along his assignment, Kaji witnesses cruelties in the army and revolts against the abusive treatment against the recruit Obara. He also sees his friend Shinjô Ittôhei defecting to the Russian border, and he ends in the front to fight a lost battle against the Russian tanks division.",1959-11-20,First Sequel of an Anti-War Masterpiece,178,8.5,5247
Srabon Megher Din,tt0375093,https://image.tmdb.org/t/p/w500//g7qNeNb7aht8AjX2hqcp37abUqA.jpg,bn,শ্রাবন মেঘের দিন,"The second movie directed by Humayun Ahmed. Revolving around a folk singer, his love interest and the local aristocratic family's involvement, the movie offered some beautiful folk songs like Amar Gaye Joto Dukhkho Shoy by Bari Siddiqui. Golam Mustafa, Zahid Hasan, Mahfuz, Mukti and Shaon played the main characters in the film.",2000-12-11,,150,8.5,2191
Psycho,tt0054215,https://image.tmdb.org/t/p/w500//nR4LD4ZJg2n6LZQpcOrLFdMq0cD.jpg,en,,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",1960-06-22,A new—and altogether different—screen excitement!,109,8.5,603531
Black Friday,tt0400234,https://image.tmdb.org/t/p/w500//a5s6liMFTQd7EHvCSSjavu4piPr.jpg,hi,,"Bombs tear through Bombay, wreaking havoc and polarising the citizens. With perpetrators at large, the state launches a massive drive to unmask the truth behind these events.",2004-08-13,The shocking truth behind the '93 Bombay blasts,143,8.5,18848
Le Trou,tt0054407,https://image.tmdb.org/t/p/w500//8kxtOm7D992iAaOzUoWmNQwbXjs.jpg,fr,,"Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system -- yet their escape is anything but assured.",1960-03-18,,132,8.5,15381
The Departed,tt0407887,https://image.tmdb.org/t/p/w500//kWWAt2FMRbqLFFy8o5R4Zr8cMAb.jpg,en,,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",2006-10-05,Lies. Betrayal. Sacrifice. How far will you take it?,151,8.5,1188174
The Lizard,tt0416960,https://image.tmdb.org/t/p/w500//6IXSwXmw80RdvNKU36FJRK6l0Xx.jpg,fa,مارمولک,"The satirical commentary on clergymen in post-revolutionary Iran. While in prison, petty criminal Reza (Parviz Parastui) comes across a clergyman, sparking a plan for escape. Reza dons his new acquaintance's clerical robes and makes a bid for freedom. He soon learns that being a clergyman brings little respect from the public. Reza travels to the outlying villages, from where he plots to escape the country. However, his plans must be put on hold when the villagers accept him into their community and expect him to perform religious duties. Will Reza's prison break transform him into an unlikely pillar of the community?",2004-03-31,,110,8.5,14523
Pudhupettai,tt0459516,https://image.tmdb.org/t/p/w500//pRdN98AVlteI4aZAJsmjq4DGL18.jpg,ta,புதுப்பேட்டை,"After seeing his mother dead, a young boy runs away and is later recruited by a gangster. After becoming the right hand man of his employer, he makes serious enemies and everyone starts targeting him.",2006-05-26,Survival Of The Fittest,179,8.5,4607
Shyamol Chhaya,tt0480732,https://image.tmdb.org/t/p/w500//k0KIqsShCTtNEHm2B2crp4eWUI7.jpg,bn,শ্যামল ছায়া,"As twelve people are being taken to safety during a war, their stories start unraveling.",2004-11-01,,110,8.5,1905
