title,imdb_id,poster_url,language,original_title,overview,release_date,tagline,length,rating,num_votes
30 Years and 15 Minutes,tt12865416,https://image.tmdb.org/t/p/w500//t7mVp3gGXH0K7aUx2lCgktMlxfH.jpg,ro,30 de ani și 15 minute,"Romania is on the last place in Europe in terms of highway kilometers, but on the first place in the number of deaths in road accidents. Entrepreneur Stefan Mandachi builds 1 meter of highway on his private property.",2020-10-02,,95,9.4,1962
Jibon Theke Neya,tt0989831,https://image.tmdb.org/t/p/w500//pES4eUEWPjySmp6f59I3RzpEP1I.jpg,bn,জীবন থেকে নেয়া,"A political satire of Bangladesh under the rule of Pakistan metaphorically, where an autocratic woman in one family symbolizes the political dictatorship of Ayub Khan in East Pakistan.",1970-03-09,Perfect depiction of the idea that an individual is a nation and a house represents a country.,150,9.3,1852
The Shawshank Redemption,tt0111161,https://image.tmdb.org/t/p/w500//q6y0Go1tsGEsmtFryDOJo3dEmqu.jpg,en,,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",1994-09-23,Fear can hold you prisoner. Hope can set you free.,142,9.3,2339843
The Chaos Class,tt0252487,https://image.tmdb.org/t/p/w500//n58QmaMaw7kN3sg2EEV9HMq0jkR.jpg,tr,Hababam Sınıfı,"Lazy, uneducated students mostly coming from money, share a very close band. They live together in the dormitory of this private highschool, where they daily plan their latest pranks on teachers or the other classes. When a new and obviously strict headmaster arrives, the students naturally try to overthrow him. A comic war of nitwits follows.",1975-04-01,,87,9.3,37254
The Godfather,tt0068646,https://image.tmdb.org/t/p/w500//3bhkrj58Vtu7enYsRolD1fZdja1.jpg,en,,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",1972-03-14,An offer you can't refuse.,175,9.2,1618205
CM101MMXI Fundamentals,tt2592910,https://image.tmdb.org/t/p/w500//84GjqdUXHFDc8VQLcL1vBRsRmbK.jpg,tr,,"The funny little details of everyday life; the simple things that makes us laugh. An unforgettable performance from Cem Yilmaz. Yilmaz captures the audience with his hilarious stories about relationships, humankind's struggle with the technology and professional life. Yilmaz proves us that a food delivery or even a funeral might be amusing when considered correctly. Written by Elmalma Brand Communication",2013-01-02,,139,9.2,43923
"Hare Krishna! The Mantra, the Movement and the Swami Who Started It All",tt6842524,https://image.tmdb.org/t/p/w500//zt209FhPTnPWieOYir6wCPJDg5B.jpg,en,,"""Hare Krishna!"" is a documentary on the life of Srila Prabhupada, the 70-year-old Indian Swami who arrives in America without support or money and ignites a worldwide spiritual phenomenon, now known as the Hare Krishna Movement.",2017-06-16,,90,9.2,1329
Aguner Poroshmoni,tt0383177,https://image.tmdb.org/t/p/w500//ygJopYcwwi8wbZTaUFav5u6Rz8L.jpg,bn,আগুনের পরশমণি,A middle-class family shelters a freedom fighter in war-torn Dhaka.,1995-05-25,,123,9.1,2764
Love on a Leash,tt2185022,https://image.tmdb.org/t/p/w500//ywXyXQvJLbfM0yDNuNETInAtRZB.jpg,en,,A dog who strives to become a man seeks a woman who will love him enough for the transformation to take place.,2011-07-21,The world's best trick.,85,9.1,6800
Aynabaji,tt5354160,https://image.tmdb.org/t/p/w500//630pJxgLGzL3ZAoZWnsjwJwviTD.jpg,bn,আয়নাবাজি,"Ayna is an actor and the prison is his stage. He slips into the characters of the powerful convicted in exchange of money and take their place in prison. This strange profession is borne out of a society that doesn't give him a chance to follow his passion of acting, but forces him to act in the real life. Falling in love with the girl next door changes his life equation and he decides to end this career with one last performance. But this one takes him too deep in the rabbit hole. The story unfolds on how an underdog survives in a society that is merciless and struggles his way out from the clutch of crime game which he is a part too.",2016-09-30,,144,9.1,23064
Dominion,tt5773402,https://image.tmdb.org/t/p/w500//sipSZ6Gcuz6O7gzQbLdskpwjh7V.jpg,en,,"Exposing the dark underbelly of modern animal agriculture through drones, hidden & handheld cameras, the feature-length film explores the morality and validity of our dominion over the animal kingdom.",2018-03-29,An Australian Documentary,120,9.1,2489
The Transcendents,tt5980638,https://image.tmdb.org/t/p/w500//8p9ZqjX7Y51CtSq0FKSiUXRMsTw.jpg,en,,"Roger, a Rasputin-like drifter, is in search of the ultimate indie-rock band, The Transcendents. What he finds is less than transcendent: a band who has all but abandoned society, a host of unpleasant memories, and more questions than answers in search of his own existential fulfillment. Set in the Wonderland of America's Do-it-Yourself music scene, The Transcendents is a dark comedic fairytale that straddles the line between the absurd and the all too real.",2018-04-18,,96,9.1,1468
Mayabazar,tt0249795,https://image.tmdb.org/t/p/w500//gOPX8hmm0haajccTeG1WiuN8M49.jpg,te,,"The critically acclaimed Mayabazar is considered one of the enduring classics of Indian Cinema. The film was touted as a landmark achievement in Indian film's cinematography, art direction and visual effects with the technology available at the time.The music delivered by Saluri Rajeswara Rao (uncredited) and Ghantasala has been extremely popular. The film stars Gummadi Venkateswara Rao as Balarama, NTR as Krishna, ANR as Abhimanyu, S. V. Ranga Rao as Ghatotkacha, and Savitri as Vatsala/Sasirekha. A digitally remastered colour version was released in 2010.",1957-03-27,,181,9.1,4050
Little Baby,tt8569206,https://image.tmdb.org/t/p/w500//jtJpWhS4HXXXKNjkPg3W1TZciA5.jpg,hi,,"Little Baby is a story of unconditional love between a father and daughter. Sasha is a 19 year old girl who loves to experiment with her life and in this, she forgets she has a loving father and a mother.",,,105,9.1,2103
Ramayana: The Legend of Prince Rama,tt0259534,https://image.tmdb.org/t/p/w500//vwUviWUCb0cfw8GtR7G0YiWf7B1.jpg,hi,,"1992 Indo-Japanese traditional animation feature film directed by Yugo Sako and Ram Mohan, produced by Sako and Krishna Shah and based on the Indian epic the Ramayana.",1992-12-05,,135,9,2176
Dangerous Charm,tt0283524,https://image.tmdb.org/t/p/w500//mgZ85yUowZLJ8lyrwlGkwcjW1aH.jpg,bg,Опасен чар,"He is well educated, charming, and gallant - a dream for each lonely lady. In reality he is a skillful swindler, who robs naive women. Cheating merchants with guilty consciences are his targets as well. This is the elusive protagonist of the movie. He constantly changes his name, stages his own death, and travels from town to town. His exploits are myriad and his life is an endless adventure. Yet, he remains an amiable swindler, an unrealized actor, whose only goal is make his life more interesting.",1984-06-18,,87,9,1632
12 Angry Men,tt0050083,https://image.tmdb.org/t/p/w500//wh0f80G6GZvYBNiYmvqFngt3IYq.jpg,en,,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",1957-04-10,Life is in their hands. Death is on their minds.,97,9,688801
Sandhesam,tt0353975,https://image.tmdb.org/t/p/w500//tF1Y52WGqX7t3Lj35oQC6IL3ENB.jpg,ml,സന്ദേശം,"After his retirement, Raghavan Nair (Thilakan) is back at his home. His long cherished dream to spend his retired life along with his family is thwarted after seeing his two sons brawling each other over their political differences.",1991-02-04,The message,137,9,3579
The Dark Knight,tt0468569,https://image.tmdb.org/t/p/w500//qJ2tW6WMUDux911r6m7haRef0WH.jpg,en,,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",2008-07-16,Why So Serious?,152,9,2300431
David Attenborough: A Life on Our Planet,tt11989890,https://image.tmdb.org/t/p/w500//mxdqWYOm3KnQthzJdEwtWzJtc06.jpg,en,,"He knows our natural world like no other, and there’s never been a more urgent time to hear his story and vision for our future.",2020-09-28,,83,9,23787
The Godfather: Part II,tt0071562,https://image.tmdb.org/t/p/w500//hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,en,,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",1974-12-20,"I don't feel I have to wipe everybody out, Tom. Just my enemies.",202,9,1128531
The Message,tt0075143,https://image.tmdb.org/t/p/w500//lAH0aNY1nPNiEB6Y9sfR6w0XivC.jpg,ar,الرسالة,"The story of prophet ""Muhammad"" and the delivery of the message of God ""Allah"".",1976-03-09,,207,9,7746
The Marathon Family,tt0084302,https://image.tmdb.org/t/p/w500//uyxIzuITcHHFFa4hqwsdjbDrOJy.jpg,sr,Маратонци трче почасни круг,"The Topalovic family has been in the burial business for generations. When the 150 yrs old Pantelija dies, five generations of his heirs start to fight for the inheritance.",1982-01-01,,92,9,14412
Time of Violence,tt0096403,https://image.tmdb.org/t/p/w500//ycurM6ebLC4MRHwInZqfdrk9lYd.jpg,bg,Време разделно,"In the 17th century, a Bulgarian Christian region is selected by the Ottoman rulers to serve as an example of conversion to Islam. A Janissary who was kidnapped from the village as a boy is sent to force the reluctant inhabitants to convert. The Turkish governor seeks a peaceful solution, but ultimately torture, violence, and rebellion break out.",1988-03-28,,288,9,2055
Natsamrat,tt5311546,https://image.tmdb.org/t/p/w500//idpdndC9eRM4CLH3rttMaMAeXv.jpg,mr,Natsamrat - Asa Nat Hone Nahi,"Appa, a veteran theatre actor who has primarily worked in adaptations of Shakespeare's plays, falls upon hard times in his old age.",2016-01-01,The King Of Theatre,166,9,5219
The Unnamed,tt5510934,https://image.tmdb.org/t/p/w500//6uBYWBPVZ11SfoaXVVPmgpWWHO3.jpg,bn,অজ্ঞাতনামা,A migrant worker's passing leads authorities on a wild goose chase on his identity and what to do with his corpse.,2016-08-19,,100,9,4114
Light Arose,tt5963218,https://image.tmdb.org/t/p/w500/null,si,ආලෝකෝ උදපාදි,Aloko Udapadi is a Sinhalese epic historical film based on the story of King Valagamba of Anuradhapura (89 – 77 BCE).,2017-01-20,,113,9,6649
Yesterday,tt0170783,https://image.tmdb.org/t/p/w500//mFGJwHaxBV8pVP4SFBY373N5vbo.jpg,bg,Вчера,"The 1960s was the time of Beatles and Rolling Stones, the time of sexual revolution. These events have their echo in Bulgarian English-learning school. The school order provokes a protest of the students due to the narrow-minded teachers.",1988-01-25,,80,9,3128
Zana,tt6463320,https://image.tmdb.org/t/p/w500//eQDrZiWXtL0EgBZqhV5XSFFMOZA.jpg,sq,,"Haunted by her long-suppressed past and pressured by family to seek treatment from mystical healers for her infertility, a Kosovar woman struggles to reconcile the expectations of motherhood with a legacy of wartime brutality.",2019-09-06,,97,9,4194
C/o Kancharapalem,tt7391996,https://image.tmdb.org/t/p/w500//8bgyfPih4bORxtnFCwinqVElkYg.jpg,te,C/o కంచరపాలెం,"From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town.",2018-09-07,,152,9,4531
Peranbu,tt7738784,https://image.tmdb.org/t/p/w500//uogOObqRReG91niJ2X7WNMpRkH8.jpg,ta,பேரன்பு,"A single father tries to raise his daughter, who has cerebral palsy, even as she is beginning to wake up to her sexuality.",2019-02-01,,147,9,12488
The Chaos Class Failed the Class,tt0252488,https://image.tmdb.org/t/p/w500//uw0Tu1xjWiSSiVGaZe2EYZ48ItQ.jpg,tr,Hababam Sınıfı Sınıfta Kaldı,A young and beautiful female teacher starts working in an all boys high school.,1975-04-15,,91,9,21759
Tosun Pasha,tt0253828,https://image.tmdb.org/t/p/w500//fcvxrVl0yfAZwUjLWLiyu2a5xIq.jpg,tr,Tosun Paşa,"Late 19th century in Alexandria. Two traditionally rival Turkish families, ""Seferoglu""s and ""Tellioglu""s are competing for the ""Green Valley"". The winner will be determined by Daver Bey, who has a beautiful young daughter, Leyla. Both families try to arrange a marriage between a man from their family and Leyla, so that Daver Bey will be inclined to give the green valley to his ""relatives"". Tellioglus, who are behind in the race, desperately find a final solution: They will fake their idiotic butler, Saban, as the highest ranked Ottoman soldier in Egypt: Tosun Pasha.",1976-01-01,Green Valley is ours!,90,9,21542
Uncle Tom,tt9708358,https://image.tmdb.org/t/p/w500//3OU5U2aERnQ0epiIOXrFWNzcmrI.jpg,en,,"In a collection of intimate interviews with some of America's most provocative black conservative thinkers, Uncle Tom takes a unique look at being black in America. Featuring media personalities, ministers, civil rights activists, veterans, and a self-employed plumber, the film explores their personal journeys of navigating the world as one of America's most misunderstood political and cultural groups: The American Black Conservative. In this eye-opening film from Director Justin Malone and Executive Producer Larry Elder, Uncle Tom examines self-empowerment, individualism and rejecting the victim narrative. Uncle Tom shows us a different perspective of American History from this often ignored and ridiculed group.",2020-06-19,An oral history of the American black conservative.,106,8.9,4964
Who's Singin' Over There?,tt0076276,https://image.tmdb.org/t/p/w500//1r4buAPUyqWwhdKxki1fyBeehsw.jpg,sr,Ко то тамо пева?,"5 April 1941, one day before the Nazi attack of the Kingdom of Yugoslavia, a colourful group of random passengers headed for the capital Belgrade.",1980-01-01,,86,8.9,14040
The Kingdom of Diamonds,tt0080856,https://image.tmdb.org/t/p/w500//3ZnHcb6D7cypclKts8gifiX0ZrJ.jpg,bn,হীরক রাজার দেশে,"The musician duo of Goopi Gayin and Bagha Bayin make a comeback in this sequel, where they are invited to the court of the Hirak Raja (Diamond King), for their musical skills. They have to perform at the kingdom's Jubilee Celebrations. But coming to the kingdom, they use their natural goodness and curiosity to find out that all is not well in the kingdom. There is exploitation of poor farmers and diamond-miners. There are sycophant courtiers and ruthless armies. And there is a mad scientist with this Brain-washing machine. With the help of an upright school-master, Goopi and Bagha set out to correct the evils... with the help of their ghost-given skills, fast thinking and an impish sense of humour.",1980-12-18,,118,8.9,2309
Dipu Number 2,tt1935109,https://image.tmdb.org/t/p/w500//6NmxF1pnfYlPiUZz8GKqUU7aZQP.jpg,bn,দীপু নাম্বার টু,"An adventure story for young boys, Dipu Number Two is the second film of a talented director from Bangladesh who is one of the few who concentrate on quality filmmaking in a country with a rich commercial film industry. The story is taken from a youth-oriented novel in which Dipu, a boy belonging to the educated class, is teased by the school bully but eventually forms a deep relationship with him. The rest is totally escapist in nature, including a scene in which the two youths manage to capture single-handedly an entire group of robbers.",1996-12-16,An adventure story for young boys.,154,8.9,2052
Balkan Spy,tt0086935,https://image.tmdb.org/t/p/w500//tC4BKuF25BNDXmKFprVOFuDaqRN.jpg,sh,Balkanski špijun,"Balkanski špijun is a 1984 Yugoslav comedy/drama. Ilija Čvorović, a former Stalinist who spent several years in a prison on Goli otok, is contacted by the police to routinely answer questions about his tenant, Petar Markov Jakovljević, a businessman, who spent twenty years living in Paris, and now has returned to Belgrade to open a tailor shop. After only several minutes, Ilija is free to go, however, he is starting to suspect that his tenant might be a spy.  As the movie goes on, his paranoia increases and more people gets involved: his wife, his daughter, his brother, Jakovljevic's friends.",1984-02-23,,92,8.9,10449
"Blue Mountains, or Unbelievable Story",tt0087349,https://image.tmdb.org/t/p/w500//zpaC23gYURKyrwwJfWOm1KK5bAF.jpg,ru,"Голубые горы, или Неправдоподобная история",An author - a passive young man - enters the Soviet-controlled bureaucracy of Georgia attempting to get his novel published only to be neglected and compartmentalized at every turn.,1983-12-18,,97,8.9,1702
The Moromete Family,tt0095657,https://image.tmdb.org/t/p/w500//25lDAwo1N7U2oGEAqNL0UiVOEHR.jpg,ro,Moromeții,"Story of a family. Problems, marriage, taxes, revenge, friendship, army, life and much more.",1987-09-28,,142,8.9,3689
Schindler's List,tt0108052,https://image.tmdb.org/t/p/w500//sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,en,,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,1993-11-30,"Whoever saves one life, saves the world entire.",195,8.9,1211996
Pulp Fiction,tt0110912,https://image.tmdb.org/t/p/w500//dRZpdpKLgN9nk57zggJCs1TjJb4.jpg,en,,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",1994-09-10,Just because you are a character doesn't mean you have character.,154,8.9,1824016
O.J.: Made in America,tt5275892,https://image.tmdb.org/t/p/w500//nFmg2G4IJ0x9mALXkYFN8Gw0Dw5.jpg,en,,"A chronicle of the rise and fall of O.J. Simpson, whose high-profile murder trial exposed the extent of American racial tensions, revealing a fractured and divided nation.",2016-05-20,,467,8.9,17503
The Lord of the Rings: The Return of the King,tt0167260,https://image.tmdb.org/t/p/w500//rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,en,,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.",2003-12-01,The eye of the enemy is moving.,201,8.9,1640983
Ekvtime: Man of God,tt6058226,https://image.tmdb.org/t/p/w500//vK0yyX9bZ2DVbjAKzp0vAs2mWR0.jpg,ka,,"Man who was a Guardian of The National Treasure of his homeland Sakartvelo (Georgia) in France placed in 39 big boxes, did not lose any item and brought it back in 1945 after 24 years of struggle and became a national hero.",2018-01-20,,140,8.9,2661
"Don't Call Him ""Dimon""",tt6679360,https://image.tmdb.org/t/p/w500//7Sd8ALunb5y3GOqX760Jd2rFPN7.jpg,ru,Он вам не Димон,A 2017 Russian documentary film about alleged corruption by Prime Minister of Russia Dmitry Medvedev. The film claims that Dmitry Medvedev has embezzled an estimated $1.2 billion.,2017-03-02,,49,8.9,3073
Aha Naa Pellanta,tt0249336,https://image.tmdb.org/t/p/w500/null,te,అహ నా పెళ్ళంట!,"Krishna Murthy (Rajendra Prasad), son of rich industrialist Satyanarayana (Nutan Prasad) falls in love with Padma (Rajani). When Krishna's father learns that Padma is the daughter of a greedy miser Lakshmipathy (Kota Srinivasa Rao), he challenges his son to convince Lakshmipathy to marry his daughter without revealing that he belongs to a rich family. Rest of the story is about Krishna's efforts to impress Lakshmipathy by acting like a miser himself. Brahmanandam made his acting debut with this film as Lakshmipathy's servant. This film is a turning point of Kota Srinivasa Rao.",1987-03-30,,147,8.9,2602
The Foster Brothers,tt0253779,https://image.tmdb.org/t/p/w500//Aqp44yPqqFR4XKkoOCC0O1WvlAl.jpg,tr,Süt Kardeşler,"Saban, Ramazan and Bayram are sailors in an Ottoman Navy and Hüsamettin is their commander. Hüsamettin's aide Ramazan, Saban who is foster son of Hüsamettin's sister and Bayram who is married to Hüsamettin's niece stays at Hüsamettin's family residence. Hüsamettin's sister thinks Ramazan is her foster son Saban when she realizes her mistake she introduces Ramazan to her brother as her son in law Bayram since she was afraid of Hüsamettin's short-tempered character. Things get complicated when real Saban and Bayram come to the residence. Now Saban has to be Ramazan and Bayram has to be Saban. Meanwhile, a gulyabani (a ghoul from Turkish folklore) haunts the residence.",1976-02-01,,80,8.9,18420
Ardaas Karaan,tt9537346,https://image.tmdb.org/t/p/w500//yk5r8Q8q0kLFweujMRp6paSfG5O.jpg,pa,,Ardaas Karaan explores the generation gap faced by families.,2019-07-19,,140,8.8,1396
Nadodikkattu,tt0282778,https://image.tmdb.org/t/p/w500//3RYZ6AWgim4250ydjtvKmY60WRH.jpg,ml,നാടോടിക്കാറ്റ്,"After losing their jobs, Dasan and Vijayan have no hope of finding work in Kerala. They plan to escape to Dubai, but end up in Chennai. Can they find luck there?",1987-05-06,,158,8.8,4116
The Human Condition III: A Soldier's Prayer,tt0055233,https://image.tmdb.org/t/p/w500//wZG5gTZj6YKOcm653v6BHK8FWXs.jpg,ja,人間の條件　完結篇,"After the Japanese defeat to the Russians, Kaji leads the last remaining men through Manchuria. Intent on returning to his dear wife and his old life, Kaji faces great odds in a variety of different harrowing circumstances as he and his fellow men sneak behind enemy lines.",1961-01-28,Love is the Condition for Being Human,190,8.8,5115
Graves End,tt0419781,https://image.tmdb.org/t/p/w500//7fsIifyJpvre1nFWYtXOD7DkHd2.jpg,en,,"When society turns their back on reformed felons, the town of Graves End welcomes them but when the ex-cons disappear, FBI agent Paul Rickman comes looking for them and discovers more than he expected.",2005-04-22,Some Dark Secrets Won't Stay Buried Forever,90,8.8,6510
"The Good, the Bad and the Ugly",tt0060196,https://image.tmdb.org/t/p/w500//eWivEg4ugIMAd7d4uWI37b17Cgj.jpg,it,"Il buono, il brutto, il cattivo","While the Civil War rages between the Union and the Confederacy, three men – a quiet loner, a ruthless hit man and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",1966-12-23,For three men the Civil War wasn't hell. It was practice.,161,8.8,687576
The Adventures of Goopy and Bagha,tt0063023,https://image.tmdb.org/t/p/w500//n1E50IdrHlCDp9qL2NrVHXRZ3Bn.jpg,bn,গুপী গাইন বাঘা বাইন,"Goopy and Bagha are banished from the kingdom for being bad musicians. However, with their skills, they succeed in pleasing the king of ghosts who grants them three wishes.",1969-05-08,,132,8.8,2156
Inception,tt1375666,https://image.tmdb.org/t/p/w500//9gk7adHYeDvHkCSEqAvQNLV5Uge.jpg,en,,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",2010-07-15,Your mind is the scene of the crime.,148,8.8,2064250
Les Misérables in Concert - The 25th Anniversary,tt1754109,https://image.tmdb.org/t/p/w500//vxk8rSKFtHMnQafvkkgJUeES8iI.jpg,en,,"This concert, recorded to celebrate the 25th anniversary of the landmark musical Les Miserables, gathers the casts of the show's 2010 original production at the Queen's Theatre, the 1985 original production by the London company, and the 2010 production at the Barbican together for one performance. Together with talents like Michael Ball, Hadley Fraser, and John Owen-Jones, the performers present the play's musical numbers in a semi-theatrical style, fully costumed and with all the emotion of the musical's heyday.",2010-10-03,The Musical Event of a Lifetime,178,8.8,5456
The Phantom of the Opera at the Royal Albert Hall,tt2077886,https://image.tmdb.org/t/p/w500//1vf1ryVPBSV2J8dOfCmyv3u0Vu4.jpg,en,,"A disfigured musical genius, hidden away in the Paris Opera House, terrorises the opera company for the unwitting benefit of a young protégée whom he trains and loves. The 25th anniversary of the first public performance of Phantom of the Opera was celebrated with a grand performance at the Royal Albert Hall in London.",2011-09-27,The 25th anniversary of the first public performance of Phantom of the Opera.,160,8.8,8228
Sagara Sangamam,tt0086231,https://image.tmdb.org/t/p/w500//rCUDn1S8ct8DqtLBx7Ot3uTWYfO.jpg,te,సాగర సంగమం,A young multi-talented dancer is poverty stricken and as a principled person he does not want to compromise on his ethics for commercial dancing. A wealthy woman recognizes this talent and provides him with an opportunity to showcase his art.,1983-06-03,,160,8.8,2795
Upendra,tt2330098,https://image.tmdb.org/t/p/w500//qx4nP5UYnjwzCYFrR917hksozSx.jpg,kn,,"Upendra is a 1999 Kannada psychological thriller film written and directed by Upendra. It starred Upendra, Raveena Tandon, Prema and Damini in the lead roles. The film explores three human emotions through the relationship between the main character and the three heroines. The songs of the film were written by Upendra and music was composed by Gurukiran. The movie has a cult fanbase.",1999-01-01,,138,8.8,2438
Led Zeppelin: Celebration Day,tt2414166,https://image.tmdb.org/t/p/w500//6tMxYFmdbSeZmS6wVjLPqwPZ13U.jpg,en,Led Zeppelin : Celebration Day,"On December 10, 2007, Led Zeppelin took the stage at London's O2 Arena to headline a tribute concert for dear friend and Atlantic Records founder Ahmet Ertegun. Founding members John Paul Jones, Jimmy Page and Robert Plant were joined by Jason Bonham, the son of their late drummer John Bonham, to perform 16 songs from their celebrated catalog.",2012-10-17,,124,8.8,2375
Om,tt3189256,https://image.tmdb.org/t/p/w500//hjP5nkK3KdS1NpEHV2xv2MkSmGk.jpg,kn,ॐ,"Satya, the son of a priest, leads a straightforward life until he meets the girl of his dreams. His love for her drags him into the world of crime, making him lose everyone he is closed to.",1995-05-16,,150,8.8,2614
Forrest Gump,tt0109830,https://image.tmdb.org/t/p/w500//h5J4W4veyxMXDMjeNxZI46TsHOb.jpg,en,,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",1994-07-06,Life is like a box of chocolates...you never know what you're gonna get.,142,8.8,1806661
Katyar Kaljat Ghusali,tt5190958,https://image.tmdb.org/t/p/w500/null,mr,कट्यार काळजात घुसली,"Katyar Kaljat Ghusli is a 2015 Marathi film based on a play by the same name. Directed by Subodh Bhave, the film stars Sachin Pilgaonkar, Shankar Mahadevan, and Subodh Bhave in lead roles. The film marks the acting debut for Mahadevan and directorial debut for Bhave. The original play premiered in 1967 in Mumbai, where Hindustani classical vocalist Vasantrao Deshpande played one of the protagonists. In 2010, the play was relaunched with protagonists essayed by Rahul Deshpande, grandson of Vasantrao Deshpande and singer Mahesh Kale. The film's music is composed by Shankar–Ehsaan–Loy, and retained some of the songs from the original play composed by Jitendra Abhisheki.",2015-11-12,A dagger through the heart,162,8.8,1874
The Lord of the Rings: The Fellowship of the Ring,tt0120737,https://image.tmdb.org/t/p/w500//6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,en,,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",2001-12-18,One ring to rule them all,179,8.8,1659541
Fight Club,tt0137523,https://image.tmdb.org/t/p/w500//8kNruSfhk5IoE4eZOc4UpvDn6tq.jpg,en,,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",1999-10-15,Mischief. Mayhem. Soap.,139,8.8,1852416
The Mountain II,tt5813916,https://image.tmdb.org/t/p/w500//qKBJ5OaJ7imB6RXjW0JFNSxDXNR.jpg,tr,Dağ II,"In a desolate war zone where screams of the innocent echo, on the very line between disaster and valor, 7 Maroon Berets will dance with death.",2016-11-04,,135,8.8,104981
Kill Bill: The Whole Bloody Affair,tt6019206,https://image.tmdb.org/t/p/w500//zomX76Pf3nUaTzRBk5BveLk1QPu.jpg,en,,"An assassin is shot and almost killed by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.  Kill Bill: The Whole Bloody Affair is a complete edit of the two-part martial arts action films Kill Bill: Vol. 1 and Kill Bill: Vol. 2. The film was originally scheduled to be released as one part. However, due to the film's over 4 hour running time, it was split into two parts.",2011-03-27,,247,8.8,5854
Της κακομοίρας,tt0197042,https://image.tmdb.org/t/p/w500//yWcNqp3Lo2bnr2pvV4XrlorB3Pv.jpg,el,,"This classic Greek comedy revolves around the constant fights between Zikos who works as a clerk at a small grocer's shop and the shop's owner. Zikos just can't keep his mouth shut every time his boss behaves as being an aristocrat. Things go even worse when Zikos finds out that his boss, by taking advantage of his wealth and with the help of the local match-maker, is planning to marry a young poor girl living in the same neighborhood.",1963-06-18,,96,8.8,2140
A Nameless Band,tt0205306,https://image.tmdb.org/t/p/w500//dET1DAeEIOy74C7YsuUQOV96vUa.jpg,bg,Оркестър без име,The misfortunes of a couple of guys who form a music group and think they can get rich and famous easy.,1982-01-04,,112,8.8,2034
Oru Vadakkan Veeragatha,tt0230597,https://image.tmdb.org/t/p/w500//AeRbwPlmE8m3qnr4AjB4lmEVqKs.jpg,ml,ഒരു വടക്കൻ വീരഗാഥ,"Chanthu, a poor orphan and Aromal are cousins and belong to the Chekavar clan, a warrior clan who hire themselves out as duellers to settle disputes among the rich and powerful. Aromal, jealous of the much more talented Chanthu, makes life miserable for him and Chanthu decides to leave and live with Aringodar, a rival chekavan, as his pupil. When the two sons of a local landlord have a property dispute and decide to hire Aromal and Aringodar to duel it out, Chanthu has to decide where his loyalty lies - with the family of the uncle who brought him up or with Aringodar who provided him with sanctuary.",1989-04-14,,168,8.8,4350
